mat-001 | Temel Kavramlar ve Sayılar | Dört basamaklı 53A4 sayısı 12 ile tam bölünebildiğine göre, A yerine gelebilecek rakamların toplamı kaçtır? | ✓6
mat-002 | Problemler | Bir sayının 3 katının 5 fazlası, aynı sayının 5 katının 7 eksiğine eşittir. Bu sayı kaçtır? | ✓6
mat-003 | Geometri | Bir açının tümlerinin ölçüsü, aynı açının bütünlerinin ölçüsünün 1/4'üne eşittir. Bu açının ölçüsü kaç derece… | ✓60
mat-004 | Temel Kavramlar ve Sayılar | 2 üzeri x = 5 olduğuna göre, 8 üzeri x ifadesinin değeri kaçtır? | ✓125
mat-005 | Problemler | Ali'nin yaşı, oğlunun yaşının 4 katıdır. 5 yıl sonra Ali'nin yaşı, oğlunun yaşının 3 katı olacaktır. Buna gör… | ✓40
mat-006 | Temel Kavramlar ve Sayılar | İki pozitif tam sayının OKEK'i 84, OBEB'i 7'dir. Sayılardan biri 21 olduğuna göre diğer sayı kaçtır? | ✓28
mat-007 | Denklem ve Oran-Orantı | x/3 + x/4 = 14 denklemini sağlayan x değeri kaçtır? | ✓24
mat-008 | Problemler | Bir işi Ayşe tek başına 12 günde, Betül tek başına 24 günde bitirebilmektedir. İkisi birlikte çalışırlarsa ay… | ✓8
mat-009 | Küme-Fonksiyon-İşlem | A ve B kümeleri için s(A) = 12, s(B) = 9 ve s(A∪B) = 16 olduğuna göre, s(A∩B) kaçtır? | ✓5
mat-010 | Temel Kavramlar ve Sayılar | |x − 3| = 7 denklemini sağlayan x değerlerinin toplamı kaçtır? | ✓6
mat-011 | Sayısal Mantık | Bir koşu yarışını Ahmet, Burak, Cem, Deniz ve Emre adlı beş sporcu ilk beş sırada tamamlamıştır. Emre yarışı … | ✓5.
mat-012 | Problemler | Bir ürün %20 kârla 180 TL'ye satılmaktadır. Bu ürünün alış fiyatı kaç TL'dir? | ✓150
mat-013 | Temel Kavramlar ve Sayılar | √48 + √27 − √75 işleminin sonucu kaçtır? | ✓2√3
mat-014 | Geometri | Bir üçgenin iç açılarının ölçüleri 2, 3 ve 4 sayılarıyla doğru orantılıdır. Buna göre en büyük açının ölçüsü … | ✓80
mat-015 | Permütasyon-Kombinasyon-Olasılık | Bütün harfleri birbirinden farklı olan KALEM kelimesinin harflerinin yerleri değiştirilerek, anlamlı ya da an… | ✓120
mat-016 | Problemler | Saatte 60 km hızla giden bir araç, iki şehir arasındaki yolu 4 saatte almaktadır. Aynı yolu 3 saatte almak is… | ✓80
mat-017 | Denklem ve Oran-Orantı | a/b = 3/5 ve a + b = 48 olduğuna göre, b − a farkı kaçtır? | ✓12
mat-018 | Temel Kavramlar ve Sayılar | x² − y² = 40 ve x − y = 4 olduğuna göre, x + y toplamı kaçtır? | ✓10
mat-019 | Problemler | Bir sınıftaki öğrencilerin 2/5'i erkektir. Kız öğrencilerin sayısı erkek öğrencilerin sayısından 9 fazla oldu… | ✓45
mat-020 | Geometri | Bir dikdörtgenin uzun kenarı, kısa kenarının 3 katıdır. Dikdörtgenin çevresi 48 cm olduğuna göre, alanı kaç c… | ✓108
mat-021 | Temel Kavramlar ve Sayılar | −3 < x ≤ 5 eşitsizliğini sağlayan kaç farklı x tam sayısı vardır? | ✓8
mat-022 | Problemler | Şeker oranı %20 olan 30 litre şerbet ile şeker oranı %50 olan 30 litre şerbet karıştırılıyor. Elde edilen kar… | ✓35
mat-023 | Küme-Fonksiyon-İşlem | f(x) = 2x + 3 fonksiyonu veriliyor. Buna göre f(f(1)) değeri kaçtır? | ✓13
mat-024 | Problemler | Bir satıcı 200 TL'ye aldığı bir ürünü %30 zararla satmıştır. Buna göre satış fiyatı kaç TL'dir? | ✓140
mat-025 | Sayısal Mantık | Beş katlı bir apartmanın her katında bir daire vardır ve dairelerde Kerem, Leyla, Murat, Nur ve Selin oturmak… | ✓4
mat-026 | Temel Kavramlar ve Sayılar | (3/4 + 1/6) ÷ (11/24) işleminin sonucu kaçtır? | ✓2
mat-027 | Denklem ve Oran-Orantı | 3(x − 2) − 2(x + 1) = 7 denklemini sağlayan x değeri kaçtır? | ✓15
mat-028 | Permütasyon-Kombinasyon-Olasılık | İki zar birlikte havaya atılıyor. Üst yüze gelen sayıların toplamının 5 olma olasılığı kaçtır? | ✓1/9
mat-029 | Problemler | Bir musluk boş bir havuzu 6 saatte doldurmakta, havuzun dibindeki tahliye musluğu ise dolu havuzu 12 saatte b… | ✓12
mat-030 | Geometri | Bir ayrıtının uzunluğu 4 cm olan küpün tüm yüzeylerinin alanları toplamı kaç cm²'dir? | ✓96
mat-031 | Problemler | Bir anne ile kızının yaşları toplamı 48'dir. Anne, kızından 28 yaş büyük olduğuna göre kızı kaç yaşındadır? | ✓10
mat-032 | Temel Kavramlar ve Sayılar | 3⁴ × 3² ÷ 3⁵ işleminin sonucu kaçtır? | ✓3
mat-033 | Geometri | Yarıçapının uzunluğu 6 cm olan bir çemberin çevresi kaç π cm'dir? | ✓12
mat-034 | Temel Kavramlar ve Sayılar | 72 sayısının kaç tane pozitif tam sayı böleni vardır? | ✓12
mat-035 | Problemler | Aralarında 450 km uzaklık bulunan iki araç, birbirlerine doğru aynı anda harekete geçiyor. Araçlardan birinin… | ✓5
mat-036 | Denklem ve Oran-Orantı | 2x + 3y = 24 ve x = 3y olduğuna göre, x kaçtır? | ✓8
mat-037 | Temel Kavramlar ve Sayılar | √0,04 + √0,09 işleminin sonucu kaçtır? | ✓0,5
mat-038 | Problemler | Bir mağaza, bir ürünün etiket fiyatı üzerinden %25 indirim yaparak ürünü 240 TL'ye satmaktadır. Bu ürünün eti… | ✓320
mat-039 | Sayısal Mantık | Ali, Berk, Can ve Duru bir sınavdan birbirinden farklı puanlar almıştır. Ali'nin puanı Berk'in puanından yüks… | ✓Can
mat-040 | Küme-Fonksiyon-İşlem | Bir sınıftaki 30 öğrenciden 18'i basketbol, 15'i voleybol oynamaktadır. Her öğrenci bu sporlardan en az birin… | ✓3
mat-041 | Temel Kavramlar ve Sayılar | |−7| − |3 − 8| işleminin sonucu kaçtır? | ✓2
mat-042 | Problemler | Bir işi Ahmet tek başına 10 günde, Mehmet tek başına 15 günde yapabilmektedir. İkisi birlikte 3 gün çalıştıkt… | ✓5
mat-043 | Geometri | Bir dik üçgenin dik kenarlarının uzunlukları 6 cm ve 8 cm'dir. Bu üçgenin hipotenüsünün uzunluğu kaç cm'dir? | ✓10
mat-044 | Temel Kavramlar ve Sayılar | x² + 5x + 6 ifadesinin çarpanlarından biri aşağıdakilerden hangisidir? | ✓x + 3
mat-045 | Permütasyon-Kombinasyon-Olasılık | 6 kişilik bir gruptan 2 kişilik bir ekip kaç farklı şekilde seçilebilir? | ✓15
mat-046 | Problemler | Bir esnaf 320 TL'ye aldığı bir malı %25 kârla satmıştır. Buna göre satış fiyatı kaç TL'dir? | ✓400
mat-047 | Temel Kavramlar ve Sayılar | 48 ve 60 sayılarının en büyük ortak böleni (OBEB) kaçtır? | ✓12
mat-048 | Denklem ve Oran-Orantı | x ile y doğru orantılıdır. x = 12 iken y = 8 olduğuna göre, x = 18 iken y kaçtır? | ✓12
mat-049 | Problemler | Ardışık üç çift sayının toplamı 78 olduğuna göre, bu sayıların en büyüğü kaçtır? | ✓28
mat-050 | Geometri | Koordinat düzleminde A(2, 3) ve B(6, 6) noktaları arasındaki uzaklık kaç birimdir? | ✓5
mat-051 | Temel Kavramlar ve Sayılar | 2x − 5 < 7 eşitsizliğini sağlayan en büyük tam sayı kaçtır? | ✓5
mat-052 | Problemler | Boş bir havuzu birinci musluk tek başına 8 saatte, ikinci musluk tek başına 24 saatte doldurabilmektedir. İki… | ✓6
mat-053 | Küme-Fonksiyon-İşlem | Gerçek sayılar üzerinde a Δ b = 2a + b − 3 işlemi tanımlanıyor. Buna göre 4 Δ 5 işleminin sonucu kaçtır? | ✓10
mat-054 | Sayısal Mantık | Kaan, Lale, Mert ve Nil'in boyları birbirinden farklıdır. Kaan, Lale'den uzundur. Mert, Nil'den kısadır ama e… | ✓Lale
mat-055 | Problemler | Tuz oranı %10 olan 40 gram tuzlu su ile tuz oranı %25 olan 20 gram tuzlu su karıştırılıyor. Elde edilen karış… | ✓15
mat-056 | Permütasyon-Kombinasyon-Olasılık | Bir madeni para art arda üç kez havaya atılıyor. Üç atışın da tura gelme olasılığı kaçtır? | ✓1/8
mat-057 | Temel Kavramlar ve Sayılar | 0,25 × 0,4 işleminin sonucu kaçtır? | ✓0,1
mat-058 | Denklem ve Oran-Orantı | 5x − 3 = 2x + 12 denklemini sağlayan x değeri kaçtır? | ✓5
mat-059 | Problemler | Bir araç, gideceği yolun yarısını saatte 60 km, kalan yarısını saatte 90 km hızla gitmiştir. Bu aracın tüm yo… | ✓72
mat-060 | Geometri | Bir düzgün altıgenin bir iç açısının ölçüsü kaç derecedir? | ✓120
mat-061 | Temel Kavramlar ve Sayılar | Üç basamaklı 4A2 sayısı 9 ile tam bölünebildiğine göre, A kaçtır? | ✓3
mat-062 | Problemler | Bugün bir babanın yaşı, oğlunun yaşının 5 katıdır. İkisinin yaşları toplamı 42 olduğuna göre, baba oğlundan k… | ✓28
mat-063 | Geometri | Ölçüleri (2x + 10) derece ve (3x − 30) derece olan iki açı, kesişen iki doğrunun oluşturduğu ters açılardır. … | ✓40
mat-064 | Problemler | Bir depodaki suyun önce 1/3'ü, sonra kalan suyun 1/4'ü kullanılıyor. Depoda 36 litre su kaldığına göre, başla… | ✓72
mat-065 | Temel Kavramlar ve Sayılar | 5¹² ÷ 25⁵ işleminin sonucu kaçtır? | ✓25
mat-066 | Denklem ve Oran-Orantı | a/3 = b/5 ve a + b = 32 olduğuna göre, a kaçtır? | ✓12
mat-067 | Problemler | Bir işçinin maaşına önce %20 zam, daha sonra yeni maaşı üzerinden %10 zam yapılmıştır. Buna göre işçinin maaş… | ✓32
mat-068 | Sayısal Mantık | Ayşe, Bora ve Ceren'in her biri Ankara, Bursa ve Konya şehirlerinden birinde, her şehirde yalnız biri olacak … | ✓Bursa
mat-069 | Temel Kavramlar ve Sayılar | √5 × √20 işleminin sonucu kaçtır? | ✓10
mat-070 | Problemler | Bir işi 6 işçi 12 günde bitirmektedir. Aynı güçte 9 işçi bu işi kaç günde bitirir? | ✓8
mat-071 | Küme-Fonksiyon-İşlem | A = {1, 2, 3, 4} kümesinin kaç tane alt kümesi vardır? | ✓16
mat-072 | Problemler | Aynı noktadan aynı anda zıt yönlere doğru harekete geçen iki araçtan birinin hızı saatte 55 km, diğerinin hız… | ✓5
mat-073 | Temel Kavramlar ve Sayılar | a² − b² = 24 ve a + b = 6 olduğuna göre, a kaçtır? | ✓5
mat-074 | Geometri | Bir üçgenin bir kenarının uzunluğu 12 cm, bu kenara ait yüksekliğinin uzunluğu 7 cm'dir. Bu üçgenin alanı kaç… | ✓42
mat-075 | Problemler | İki sayının toplamı 45, farkı 13'tür. Buna göre büyük sayı kaçtır? | ✓29
mat-076 | Permütasyon-Kombinasyon-Olasılık | 1, 2, 3, 4, 5 rakamları her sayıda en fazla birer kez kullanılarak üç basamaklı kaç farklı sayı yazılabilir? | ✓60
mat-077 | Temel Kavramlar ve Sayılar | |x| < 4 eşitsizliğini sağlayan kaç farklı x tam sayısı vardır? | ✓7
mat-078 | Problemler | Bir tüccar, 500 TL'ye aldığı bir malın etiket fiyatını alış fiyatının %40 fazlası olarak belirliyor. Daha son… | ✓60
mat-079 | Temel Kavramlar ve Sayılar | a = 3/5, b = 2/3 ve c = 7/10 sayılarının küçükten büyüğe doğru sıralanışı aşağıdakilerden hangisidir? | ✓a < b < c
mat-080 | Problemler | Limon suyu oranı %30 olan 20 litre limonataya 5 litre su ekleniyor. Buna göre yeni karışımın limon suyu oranı… | ✓24
mat-081 | Sayısal Mantık | Bir sayı dizisinde her terim, kendinden önceki terimin 2 katının 1 eksiğine eşittir. Dizinin ilk terimi 3 old… | ✓17
mat-082 | Geometri | Yarıçapının uzunluğu 5 cm olan bir dairenin alanı kaç π cm²'dir? | ✓25
mat-083 | Küme-Fonksiyon-İşlem | f(x) = 3x − 4 fonksiyonu veriliyor. f(a) = 11 olduğuna göre, a kaçtır? | ✓5
mat-084 | Problemler | İki musluk birlikte açıldığında boş bir havuzu 4 saatte doldurmaktadır. Musluklardan biri tek başına aynı hav… | ✓12
mat-085 | Temel Kavramlar ve Sayılar | 8, 12 ve 18 sayılarının her üçüne de tam bölünebilen en küçük pozitif tam sayı kaçtır? | ✓72
mat-086 | Denklem ve Oran-Orantı | x + 2y = 11 ve x − y = 2 olduğuna göre, y kaçtır? | ✓3
mat-087 | Permütasyon-Kombinasyon-Olasılık | 1'den 20'ye kadar numaralandırılmış 20 karttan rastgele bir kart çekiliyor. Çekilen kartın üzerindeki sayının… | ✓1/4
mat-088 | Problemler | Ardışık dört tek sayının toplamı 64 olduğuna göre, bu sayıların en küçüğü kaçtır? | ✓13
mat-089 | Temel Kavramlar ve Sayılar | (√2)⁶ işleminin sonucu kaçtır? | ✓8
mat-090 | Geometri | Dikdörtgenler prizması şeklindeki bir deponun ayrıt uzunlukları 3 m, 4 m ve 5 m'dir. Bu deponun hacmi kaç m³'… | ✓60
mat-091 | Temel Kavramlar ve Sayılar | 5! − 4! işleminin sonucu kaçtır? | ✓96
mat-092 | Problemler | Bir çiftlikte tavuklar ve koyunlar bulunmaktadır. Hayvanların baş sayısı toplam 30, ayak sayısı toplam 84 old… | ✓18
mat-093 | Geometri | Bir ikizkenar üçgende tepe açısının ölçüsü 40 derecedir. Buna göre taban açılarından her birinin ölçüsü kaç d… | ✓70
mat-094 | Temel Kavramlar ve Sayılar | 1 + 2 + 3 + ... + 40 işleminin sonucu kaçtır? | ✓820
mat-095 | Problemler | Bir miktar para Ali, Berk ve Cem arasında paylaştırılıyor. Ali paranın 1/2'sini, Berk paranın 1/3'ünü, Cem is… | ✓180
mat-096 | Küme-Fonksiyon-İşlem | f(x) = x² + 1 fonksiyonu veriliyor. Buna göre f(2) + f(3) değeri kaçtır? | ✓15
mat-097 | Problemler | Bir kasabanın nüfusu bir yılda %15 artarak 4600 olmuştur. Buna göre kasabanın bir yıl önceki nüfusu kaçtır? | ✓4000
mat-098 | Temel Kavramlar ve Sayılar | İki basamaklı bir sayının rakamlarının yerleri değiştirildiğinde sayı 27 artmaktadır. Bu sayının rakamları ar… | ✓3
mat-099 | Sayısal Mantık | Ela, Fatih ve Gül adlı üç arkadaştan her biri çay, kahve ve limonatadan yalnızca birini içmiştir ve hiçbiri d… | ✓Kahve
mat-100 | Problemler | Saatte 80 km sabit hızla giden bir araç 45 dakikada kaç km yol alır? | ✓60
mat-101 | Temel Kavramlar ve Sayılar | (1/3)⁻² + 5⁰ işleminin sonucu kaçtır? | ✓10
mat-102 | Geometri | Çevresi 36 cm olan bir karenin alanı kaç cm²'dir? | ✓81
mat-103 | Problemler | Bir pastanede her biri saatte 24 simit hazırlayan 3 usta birlikte çalışmaktadır. Bu üç usta toplam 720 simidi… | ✓10
mat-104 | Temel Kavramlar ve Sayılar | Birbirinden farklı iki basamaklı üç doğal sayının toplamı en çok kaçtır? | ✓294
mat-105 | Problemler | Ali ile Veli'nin bugünkü yaşları toplamı 40'tır. 4 yıl önce Ali'nin yaşı Veli'nin yaşının 3 katı olduğuna gör… | ✓28
mat-106 | Permütasyon-Kombinasyon-Olasılık | Bir torbada 4 kırmızı, 5 mavi ve 3 sarı top vardır. Torbadan rastgele çekilen bir topun mavi olma olasılığı k… | ✓5/12
mat-107 | Problemler | Bir manav, tanesini 2 TL'den aldığı 100 karpuzdan 20 tanesini satamadan çürüttü. Kalan karpuzların tanesini 3… | ✓40
